"Amit Shah , Bharatiya Janata Party"
"Arun Jaitley , Bharatiya Janata Party"
"B S Yeddyurappa , Bharatiya Janata Party"
"Devendra Fadnavis , Bharatiya Janata Party"
"Jagat Prakash Nadda , Bharatiya Janata Party"
"L K Advani , Bharatiya Janata Party"
"Maenka Gandhi , Bharatiya Janata Party"
"Manohar Lal Khattar , Bharatiya Janata Party"
"Manohar Parikkar , Bharatiya Janata Party"
"Mukhtar Abbas Naqvi , Bharatiya Janata Party"
"Narendra Modi , Bharatiya Janata Party"
"Nirmala Sitharaman , Bharatiya Janata Party"
"Nitin Gadkari , Bharatiya Janata Party"
"Pramod Mahajan , Bharatiya Janata Party"
"Raman Singh , Bharatiya Janata Party"
"Ravi Shankar Prasad , Bharatiya Janata Party"
"Sarbananda Sonowal , Bharatiya Janata Party"
"Shivraj Singh Chouhan , Bharatiya Janata Party"
"Smriti Irani , Bharatiya Janata Party"
"Suresh Prabhu , Bharatiya Janata Party"
"Sushma Swaraj , Bharatiya Janata Party"
"Trivendra Singh Rawat , Bharatiya Janata Party"
"Uma Bharati , Bharatiya Janata Party"
"Yogi Adityanath , Bharatiya Janata Party"
"AK Antony , Indian National Congress"
"Ambika Soni , Indian National Congress"
"Capt. Amarinder Singh , Indian National Congress"
"Ghulam Nabi Azad , Indian National Congress"
"Kapil Sibal , Indian National Congress"
"Mallikarjun Kharge , Indian National Congress"
"Manmohan Singh , Indian National Congress"
"Meira Kuamar , Indian National Congress"
"P Chidambaram , Indian National Congress"
"Rahul Gandhi , Indian National Congress"
"Salman Khursheed , Indian National Congress"
"Shashi Thaoor , Indian National Congress"
"Siddaramiah , Indian National Congress"
"Sonia Gandhi , Indian National Congress"
"A. Navaneethakrishnan , All India Dravida Munnetra Kazhagam"
"Edappadi K. Palaniswami , All India Dravida Munnetra Kazhagam"
"O. Panneerselvam , All India Dravida Munnetra Kazhagam"
"Mulayam Singh Yadav , Samajhwadi Party"
"Akhilesh Yadav , Samajhwadi Party"
"Ram Gopal Yadav , Samajhwadi Party"
"Kiranmoy Nanda , Samajhwadi Party"
"Azam Khan , Samajhwadi Party"
"Lalu Prasad Yadav , Rashtriya Janata Dal"
"Raghuvansh Prasad Singh , Rashtriya Janata Dal"
"Prem Chand Gupta , Rashtriya Janata Dal"
"Tejashwi Yadav , Rashtriya Janata Dal"
"Derek O'Brian , All India Trinamool Congress"
"Partha Chatterjee , All India Trinamool Congress"
"Dr Kumar Vishwas , Aam Aadmi Party"
"Arvind Kejriwal , Aam Aadmi Party"
"Sitaram Yechury , Communist Party of India(M)"
"Pinarayi Vijayan , Communist Party of India(M)"
"Prakash Karat , Communist Party of India(M)"
"Nitish Kumar , Janata Dal"
"Sharad Yadav , Janata Dal"
"Anil Kumar Sahani , Janata Dal"
"Harivansh Narayan Singh , Janata Dal"
"Anandrao Vithoba Adsul , Shiv Sena"
"Uddhav Thackeray , Shiv Sena"
"Sanjay Raut , Shiv Sena"
"Aditya Thackrey , Shiv Sena"
"Kanam Rajendran , Communist Party of India"
"C N Jayadevan , Communist Party of India"
"Mayawati , Bahujan Samaj Party"
"Satish Mishra , Bahujan Samaj Party"
"Omar Abdullah , J&K National Conference"
"Muzaffar Hussain Baig , J&K Peoples Democratic Party"
"Hemant Soren , Jharkhand Mukti Morcha"
"Akbaruddin Owaisi , All India Majlis-e-Ittehadul Muslimeen"
"Sharad Pawar , Nationalist Congress Party"
"Supriya Sule , Nationalist Congress Party"
"Ramvilas Paswan , Lok Janshakti Party"
"Chirag Paswan , Lok Janshakti Party"
"K Chandrashekhar Rao , Telangana Rashtra Samithi"
"A. P. Jithender Reddy , Telangana Rashtra Samithi"
"MK Stalin , Dravida Munnetra Kazhagam"
"Raj Thackrey , Maharashtra Navnirman Sena"
"Jitan Ram Manjhi , Hindutva Awam Morcha"
"PC George , Independent"
"K M Mani , Kerala Congress(M)"
"P K Kunhalikutty , Indian Union Muslim League"
"N. Chandrababu Naidu , Telugu Desam Party"
"Dushyant Chautala , Indian National Lok Dal"
"Naveen Patnaik , Biju Janata Dal"
