"Robert Gates, Secretary of Defence"
"Janet Napolitano, Secretary of Homeland Security"
"Michael Hayden, Director- CIA"
"James Comey, Director- FBI"
"Jeff Prescott, National Security Advisor to the President"
"GEN Mark A. Milley, Chief of Staff- Army"
"ADM John M. Richardson, Chief of Naval Operations"
"Gen David L. Goldfein, Chief of Staff- Air Force"
"Joseph Francis Dunford Jr., Chairman- Joint Chiefs of Staff"
"Gen Joseph Votel, Commander USCENTCOM"
"Eric Shinseki, Director, National Security Agency"
"Brett McGurk, US Special Envoy in Syria"
