,,,,,United Nations Commission on the Status of Women (UNCSW)
,,,,,
Serial No,Countries,,,,
,,,,,
1,Albania,,,,
2,Algeria,,,,
3,Bahrain,,,,
4,Belgium,,,,
5,Bosnia and Herzegovina,,,,
6,Brazil,,,,
7,Canada,,,,
8,Chile,,,,
9,China,,,,
10,Colombo,,,,
11,Comoros,,,,
12,Congo,,,,
13,Ecuador,,,,
14,Equatorial Guinea,,,,
15,Eritrea,,,,
16,Estonia,,,,
17,Ghana,,,,
18,Guatamela,,,,
19,Haiti,,,,
20,Iraq,,,,
21,Iran(Islamic Republic of),,,,
22,Ireland,,,,
23,Israel,,,,
24,Japan,,,,
25,Kenya,,,,
26,Kuwait,,,,
27,Liberia,,,,
28,Liechtenstein,,,,
29,Malawi,,,,
30,Mongolia,,,,
31,Namibia,,,,
32,Nicaragua,,,,
33,Niger,,,,
34,Nigeria,,,,
35,Norway,,,,
36,Peru,,,,
37,Qatar,,,,
38,Republic of Korea,,,,
39,Russian Federation,,,,
40,Saudi Arabia,,,,
41,Spain,,,,
42,Trinidad and Tobago,,,,
43,Tunisia,,,,
44,Turkmenistan,,,,
45,United Kingdom,,,,
,,,,,
